id,timestamp,user_id,action,resource,status,duration_ms,ip_address,user_agent
1000000,1704067200,12945,update,/api/name/60,success,4786,50.225.110.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000001,1704067205,13785,read,/api/request/7,success,2086,145.188.3.128,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000002,1704067210,10433,read,/api/client/85,error,1497,9.81.255.104,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000003,1704067215,10667,update,/api/warning/508,success,3151,45.216.135.54,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000004,1704067220,12949,read,/api/data/75,timeout,3808,77.244.75.161,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000005,1704067225,10103,delete,/api/info/626,success,2194,204.31.222.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000006,1704067230,12317,create,/api/info/166,success,3828,202.86.30.171,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000007,1704067235,11132,update,/api/offset/799,success,2760,0.204.138.92,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000008,1704067240,14939,update,/api/close/418,timeout,750,212.129.5.158,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000009,1704067245,14245,delete,/api/type/657,success,877,4.105.187.168,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000010,1704067250,11939,read,/api/trace/727,success,700,2.94.27.110,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000011,1704067255,10690,read,/api/delete/295,success,4096,27.134.229.136,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000012,1704067260,13590,delete,/api/length/276,success,3668,220.222.121.125,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000013,1704067265,14305,create,/api/queue/463,success,3827,141.12.23.68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000014,1704067270,13849,update,/api/data/381,success,2916,143.179.113.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000015,1704067275,13271,delete,/api/message/927,success,2640,34.249.70.156,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000016,1704067280,12019,update,/api/data/871,success,3284,9.60.135.47,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000017,1704067285,14759,update,/api/key/700,success,1963,164.223.51.165,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
1000018,1704067290,14104,update,/api/config/739,success,1311,253.205.33.146,"Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
